#,プロジェクト,トラッカー,親チケット,親チケットの題名,ステータス,優先度,題名,作成者,担当者,更新日,カテゴリ,対象バージョン,開始日,期日,予定工数,合計予定工数,作業時間,合計作業時間,進捗率,作成日,終了日,最終更新者,関連するチケット,ファイル,プライベート
95,販売WEB,機能,"","",新規,通常,（リリースモジュール）,Admin Redmine,福尾 利行,2022/08/22 21:14,"",11.運用保守,"","","","",0.00,0.00,0,2022/08/22 21:14,"","","","",いいえ
94,販売WEB,機能,"","",新規,通常,（投入データ）,Admin Redmine,福尾 利行,2022/08/22 21:14,"",11.運用保守,"","","","",0.00,0.00,0,2022/08/22 21:14,"","","","",いいえ
93,販売WEB,機能,"","",新規,通常,（リリース手順書）,Admin Redmine,福尾 利行,2022/08/22 21:14,"",11.運用保守,"","","","",0.00,0.00,0,2022/08/22 21:14,"","","","",いいえ
92,販売WEB,機能,"","",新規,通常,モジュール移行手順書,Admin Redmine,福尾 利行,2022/08/22 21:14,"",10.本番移行,"","","","",0.00,0.00,0,2022/08/22 21:14,"","","","",いいえ
91,販売WEB,機能,"","",新規,通常,データ移行手順書,Admin Redmine,福尾 利行,2022/08/22 21:14,"",10.本番移行,"","","","",0.00,0.00,0,2022/08/22 21:14,"","","","",いいえ
90,販売WEB,機能,"","",新規,通常,サーバ移行手順書,Admin Redmine,福尾 利行,2022/08/22 21:14,"",10.本番移行,"","","","",0.00,0.00,0,2022/08/22 21:14,"","","","",いいえ
89,販売WEB,機能,"","",新規,通常,不具合管理表,Admin Redmine,福尾 利行,2022/08/22 21:14,"",09.受入検査,"","","","",0.00,0.00,0,2022/08/22 21:14,"","","","",いいえ
88,販売WEB,機能,"","",新規,通常,（各回帰テスト仕様書）,Admin Redmine,福尾 利行,2022/08/22 21:14,"",08.総合試験,"","","","",0.00,0.00,0,2022/08/22 21:14,"","","","",いいえ
87,販売WEB,機能,"","",新規,通常,（各現新比較テスト仕様書）,Admin Redmine,福尾 利行,2022/08/22 21:14,"",08.総合試験,"","","","",0.00,0.00,0,2022/08/22 21:14,"","","","",いいえ
86,販売WEB,機能,"","",新規,通常,現新比較テスト計画書,Admin Redmine,福尾 利行,2022/08/22 21:14,"",08.総合試験,"","","","",0.00,0.00,0,2022/08/22 21:14,"","","","",いいえ
85,販売WEB,機能,"","",新規,通常,（各ストレステスト仕様書）,Admin Redmine,福尾 利行,2022/08/22 21:14,"",08.総合試験,"","","","",0.00,0.00,0,2022/08/22 21:14,"","","","",いいえ
84,販売WEB,機能,"","",新規,通常,ストレステスト計画書,Admin Redmine,福尾 利行,2022/08/22 21:14,"",08.総合試験,"","","","",0.00,0.00,0,2022/08/22 21:14,"","","","",いいえ
83,販売WEB,機能,"","",新規,通常,（各シナリオテスト仕様書）,Admin Redmine,福尾 利行,2022/08/22 21:14,"",08.総合試験,"","","","",0.00,0.00,0,2022/08/22 21:14,"","","","",いいえ
82,販売WEB,機能,"","",新規,通常,シナリオテスト計画書,Admin Redmine,福尾 利行,2022/08/22 21:14,"",08.総合試験,"","","","",0.00,0.00,0,2022/08/22 21:14,"","","","",いいえ
81,販売WEB,機能,"","",新規,通常,モジュール移行リハ手順書,Admin Redmine,福尾 利行,2022/08/22 21:14,"",08.総合試験,"","","","",0.00,0.00,0,2022/08/22 21:14,"","","","",いいえ
80,販売WEB,機能,"","",新規,通常,データ移行リハ手順書,Admin Redmine,福尾 利行,2022/08/22 21:14,"",08.総合試験,"","","","",0.00,0.00,0,2022/08/22 21:14,"","","","",いいえ
79,販売WEB,機能,"","",新規,通常,サーバ移行リハ手順書,Admin Redmine,福尾 利行,2022/08/22 21:14,"",08.総合試験,"","","","",0.00,0.00,0,2022/08/22 21:14,"","","","",いいえ
78,販売WEB,機能,"","",新規,通常,（各結合試験仕様書）,Admin Redmine,福尾 利行,2022/08/22 21:14,"",07.結合試験,"","","","",0.00,0.00,0,2022/08/22 21:14,"","","","",いいえ
77,販売WEB,機能,"","",新規,通常,結合試験計画書,Admin Redmine,福尾 利行,2022/08/22 21:14,"",07.結合試験,"","","","",0.00,0.00,0,2022/08/22 21:14,"","","","",いいえ
76,販売WEB,機能,"","",新規,通常,（各単体試験仕様書）,Admin Redmine,福尾 利行,2022/08/22 21:14,"",06.単体試験,"","","","",0.00,0.00,0,2022/08/22 21:14,"","","","",いいえ
75,販売WEB,機能,"","",新規,通常,1900/01/00,Admin Redmine,福尾 利行,2022/08/22 21:14,"",05.ＰＧ開発,"","","","",0.00,0.00,0,2022/08/22 21:14,"","","","",いいえ
